Discord,ID,Description
Tabblt#3987,778239119314255912,selling fake mm servers
Mr No Sus#0717,735885258972594187,attempting with auth ticket method
ODxCyborg#7597,759753563278409758,fake mm discord server
nicotine#1000,700894804812496956,"impersonates, mm swaps & associates with PJ, Pop"
prohates#6584,770417906713755668,scamming money
ImEddieFr#0001,586441003422973953,javascript method
BoomLel#0099,774515929911918614,"scamming 10$, along with making scam alts"
Fable.dreams#9578,680829496382980109,nicotine alt
dual#0101,491707325590142976,scamming money
wuz#9999,313265027362586624,scamming money
Smacks#8863,680751824386785311,fake mm servers
YoungKomeUp#8626,765325791981469747,javascript logger
faceslasha#3524,693908563407405098,scamming money
elijah!#2548,663099842029027368,scamming a group
Acier#0002,752982636116574378,scamming with js in the past
kudo#0001,746114569872605215,fake mm servers
a;#6969,771699702562684938,selling fake methods/exit scamming
butterfly#2425,401543807570804736,"exit scamming on alts, zen#0023 alt"
faris#0006,632710971617574912,"faking vouches, scamming items"
Chiboni#0001,468856594692833289,selling fake methods/scamming
